location,time_posted,Mileage,Vehicle_color,Price,Vehicle_condition,engine_size,year,gearbox,brand,model,car_body,fuel,horsepower
Ben Arous,,220.0,Blanc,29500.0,Avec kilométrage,1.6,2011.0,Manuelle,Volvo,S40,Berline,Essence,6.0
Sousse,,48000.0,Gris,68000.0,Avec kilométrage,1.2,2022.0,Manuelle,Kia,Rio,Compacte,Essence,5.0
Nabeul,,41000.0,Bleu,115000.0,Nouveau,1.5,2020.0,Automatique,BMW,X3,Berline,Essence,8.0
Tunis,,200000.0,Blanc,21500.0,Avec kilométrage,1.2,2008.0,Manuelle,Citroen,Berlingo,Utilitaire,Diesel,7.0
Tunis,,40000.0,Autre,153000.0,Avec kilométrage,2.0,2023.0,Automatique,Kia,Sportage,4 x 4,Hybride essence,10.0
Ariana,,38000.0,Rouge,58000.0,Avec kilométrage,1.5,2017.0,Manuelle,Mazda,3,Berline,Essence,6.0
Tunis,,116.0,Gris,28500.0,Avec kilométrage,1.4,2013.0,Manuelle,Citroen,C3,Compacte,Essence,5.0
Ben Arous,,48000.0,Noir,95000.0,Avec kilométrage,1.6,2020.0,Manuelle,Volkswagen,T-ROC,Autres,Diesel,6.0
Ben Arous,,275000.0,Gris,26500.0,Avec kilométrage,2.0,2002.0,Manuelle,Toyota,Previa,Monospace,Diesel,8.0
Sfax,,42000.0,Orange,41500.0,Nouveau,1.6,2022.0,Manuelle,Kia,Picanto,Berline,Essence,4.0
Ben Arous,,106000.0,Gris,32500.0,Avec kilométrage,1.2,2017.0,Manuelle,Citroen,C3,Compacte,Essence,4.0
Sousse,,84000.0,Noir,120000.0,Avec kilométrage,1.6,2019.0,Automatique,Citroen,DS23,4 x 4,Essence,9.0
Sfax,,56000.0,Autre,48000.0,Avec kilométrage,1.2,2021.0,Automatique,Hyundai,Grand i10,Compacte,Essence,5.0
Ben Arous,,1111.0,Noir,26600.0,Avec kilométrage,1.2,2011.0,Manuelle,Ford,Ka,Berline,Essence,4.0
Ben Arous,,63000.0,Rouge,33500.0,Avec kilométrage,1.2,2020.0,Manuelle,Mahindra,Hover,Autres,Essence,5.0
Tunis,,285000.0,Noir,49500.0,Avec kilométrage,2.2,2006.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10.0
Sfax,,41000.0,Noir,69000.0,Avec kilométrage,1.6,2023.0,Automatique,Chery,Tiggo,4 x 4,Essence,11.0
Tunis,,1111.0,Noir,26600.0,Avec kilométrage,1.2,2011.0,Manuelle,Ford,Ka,Berline,Essence,4.0
Nabeul,,189000.0,Rouge,23500.0,Avec kilométrage,1.9,2011.0,Manuelle,Peugeot,Partner,Utilitaire,Diesel,7.0
Ariana,,470000.0,Blanc,44000.0,Avec kilométrage,2.0,2015.0,Manuelle,Isuzu,D-MAX,Pick up,Diesel,8.0
La Manouba,,280000.0,Bleu,67500.0,Avec kilométrage,3.0,2008.0,Automatique,BMW,X5,4 x 4,Diesel,15.0
La Manouba,,180000.0,Gris,56900.0,Avec kilométrage,1.2,2018.0,Automatique,Volkswagen,Golf,Compacte,Essence,6.0
Tunis,,150.0,Noir,25400.0,Avec kilométrage,1.1,2011.0,Manuelle,Ford,Fiesta,Berline,Essence,5.0
Sfax,,203000.0,Gris,17500.0,Avec kilométrage,1.6,2001.0,Manuelle,Volkswagen,Polo,Berline,Essence,4.0
Nabeul,,226000.0,Noir,32000.0,Avec kilométrage,1.3,2015.0,Manuelle,Kia,Rio,Autres,Essence,5.0
Nabeul,,106000.0,Gris,36000.0,Avec kilométrage,1.2,2017.0,Manuelle,Citroen,C3,Utilitaire,Essence,3.0
Bizerte,,152000.0,Marron,26700.0,Avec kilométrage,1.2,2011.0,Manuelle,Citroen,C3,Berline,Essence,4.0
Tunis,,118000.0,Gris,41000.0,Avec kilométrage,1.2,2016.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Ben Arous,,250000.0,Rouge,55000.0,Avec kilométrage,2.0,2016.0,Automatique,Mazda,6,Berline,Essence,9.0
Nabeul,,180000.0,Noir,44000.0,Nouveau,1.5,2017.0,Manuelle,Ford,Fusion,Berline,Essence,9.0
Tunis,60.0,82000.0,Noir,69900.0,Avec kilométrage,1.7,2018.0,Automatique,BMW,Serie 3,Berline,Essence,7.0
Mahdia,60.0,76.0,Gris,11111.0,Avec kilométrage,1.2,2014.0,Manuelle,lancia,Ypsilon,Autres,Essence,4.0
Bizerte,,74000.0,Rouge,31000.0,Avec kilométrage,1.2,2018.0,Manuelle,Peugeot,208,Berline,Essence,5.0
Gabès,,270000.0,Gris,30000.0,Avec kilométrage,1.6,2012.0,Automatique,Peugeot,508,Autres,Essence,7.0
La Manouba,,180000.0,Gris,56900.0,Nouveau,1.2,2018.0,Automatique,Volkswagen,Golf,Berline,Essence,6.0
Ben Arous,,127000.0,Rouge,34500.0,Avec kilométrage,1.6,2017.0,Manuelle,Toyota,Yaris,Compacte,Essence,4.0
Gabès,,200.0,Blanc,13500.0,Avec kilométrage,1.2,1994.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Ben Arous,,176.0,Rouge,25300.0,Avec kilométrage,1.2,2012.0,Manuelle,Fiat,Panda,Compacte,Essence,4.0
Ariana,,63000.0,Autre,31000.0,Avec kilométrage,1.6,2018.0,Manuelle,Peugeot,107,Autres,Essence,4.0
Kairouan,,197000.0,Noir,17200.0,Avec kilométrage,1.2,2003.0,Manuelle,Volkswagen,Polo,Compacte,Essence,4.0
Kébili,,218000.0,Noir,39000.0,Avec kilométrage,1.6,2014.0,Automatique,Kia,Cerato,Autres,Essence,8.0
Kairouan,,71000.0,Blanc,41000.0,Nouveau,1.6,2019.0,Manuelle,Dacia,Sandero,Berline,Essence,4.0
Tunis,,196.0,Gris,23000.0,Avec kilométrage,1.6,2006.0,Manuelle,Peugeot,307,Autres,Essence,6.0
Médenine,,157000.0,Gris,40000.0,Nouveau,1.2,2018.0,Manuelle,Peugeot,2008,Autres,Essence,5.0
Bizerte,,120000.0,Blanc,23800.0,Nouveau,2.5,2016.0,Manuelle,Mahindra,Scorpion,Autres,Diesel,8.0
Nabeul,,40413.0,Bleu,39000.0,Avec kilométrage,1.6,2021.0,Manuelle,Hyundai,I 10,Compacte,Essence,4.0
Monastir,,50000.0,Gris,35000.0,Nouveau,1.2,2019.0,Manuelle,Peugeot,208,Compacte,Essence,4.0
Sidi Bouzid,,155000.0,Blanc,48000.0,Avec kilométrage,1.6,2019.0,Manuelle,Peugeot,Partner,Berline,Diesel,12345.0
Ben Arous,,30000.0,Blanc,44900.0,Avec kilométrage,1.2,2022.0,Manuelle,Peugeot,208,Compacte,Essence,4.0
Ben Arous,,62000.0,Blanc,23500.0,Avec kilométrage,1.6,2019.0,Manuelle,Chery,QQ,Compacte,Essence,4.0
Sfax,,151.0,Blanc,12345.0,Nouveau,1.6,2018.0,Automatique,Ssangyong,Tivoli,Autres,Essence,8.0
Tunis,,300.0,Blanc,12500.0,Avec kilométrage,2.1,1989.0,Manuelle,Peugeot,404,Pick up,Diesel,8.0
Ariana,,160000.0,Gris,111111.0,Avec kilométrage,1.6,2021.0,Automatique,Nissan,Qashqai,Autres,Essence,6.0
Ben Arous,,300000.0,Gris,11800.0,Avec kilométrage,1.1,2001.0,Manuelle,Citroen,Saxo,Compacte,Essence,4.0
Ariana,,162000.0,Gris,38700.0,Nouveau,1.2,2014.0,Manuelle,Peugeot,2008,Monospace,Essence,5.0
Monastir,,159000.0,Noir,89900.0,Avec kilométrage,1.8,2016.0,Automatique,BMW,X1,4 x 4,Essence,7.0
Tunis,,85.0,Blanc,37600.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 10,Autres,Essence,5.0
Tunis,,93.0,Blanc,37600.0,Avec kilométrage,1.2,2020.0,Manuelle,Hyundai,I 10,Autres,Essence,5.0
Nabeul,,43500.0,Autre,20845.0,Nouveau,2.0,2020.0,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10.0
Nabeul,,43500.0,Autre,20845.0,Nouveau,2.0,2020.0,Automatique,Kia,Sportage,4 x 4,Hybride Diesel,10.0
Nabeul,,7900.0,Noir,20845.0,Nouveau,1.6,2021.0,Automatique,Kia,Sportage,4 x 4,Essence,11.0
Bizerte,,100000.0,Blanc,47000.0,Nouveau,1.6,2020.0,Manuelle,Peugeot,Partner,Autres,Diesel,5.0
Tunis,,53000.0,Rouge,42000.0,Avec kilométrage,1.6,2022.0,Manuelle,Hyundai,Grand i10,Compacte,Essence,4.0
Gabès,,200000.0,Gris,15000.0,Avec kilométrage,1.2,2015.0,Automatique,Toyota,Auris,Berline,Essence,6.0
Ben Arous,,185000.0,Noir,30300.0,Avec kilométrage,1.2,2012.0,Manuelle,Seat,Ibiza,Compacte,Essence,5.0
Tunis,,76000.0,Blanc,29800.0,Avec kilométrage,1.6,2018.0,Manuelle,Citroen,C1,Compacte,Essence,4.0
Sousse,,176000.0,Gris,67000.0,Avec kilométrage,2.2,2012.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,10.0
Tunis,,153000.0,Bleu,41000.0,Avec kilométrage,1.2,2020.0,Automatique,Suzuki,Swift,Compacte,Essence,5.0
Ben Arous,,72000.0,Gris,62500.0,Avec kilométrage,1.2,2022.0,Manuelle,Hyundai,I 20,Compacte,Essence,5.0
Nabeul,,300.0,Gris,32000.0,Avec kilométrage,1.6,2016.0,Manuelle,Volkswagen,Caddy,Utilitaire,Diesel,6.0
Nabeul,,115000.0,Orange,46800.0,Avec kilométrage,1.5,2017.0,Automatique,MG,HS,4 x 4,Essence,9.0
Tataouine,,202000.0,Noir,52000.0,Avec kilométrage,1.5,2017.0,Manuelle,Renault,Megane,Berline,Diesel,4.0
Tunis,,159000.0,Noir,31000.0,Nouveau,1.4,2016.0,Manuelle,Renault,Symbol,Compacte,Essence,5.0
Sousse,,33000.0,Gris,30000.0,Avec kilométrage,1.6,2023.0,Manuelle,wallyscar,619,Utilitaire,Essence,5.0
Ariana,,44000.0,Gris,147999.0,Avec kilométrage,1.3,2022.0,Automatique,Mercedes-Benz,Classe A,Autres,Hybride essence,6.0
Gafsa,,180.0,Doré,24000.0,RS,1.6,2002.0,Manuelle,Peugeot,307,Compacte,Essence,8.0
Ariana,,49000.0,Blanc,42800.0,Avec kilométrage,1.6,2021.0,Manuelle,Hyundai,I 10,Utilitaire,Essence,4.0
Sousse,,125000.0,Noir,90000.0,Nouveau,1.6,2019.0,Automatique,Mercedes-Benz,Classe A,Berline,Diesel,6.0
La Manouba,,177000.0,Blanc,31000.0,Avec kilométrage,1.5,2020.0,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6.0
La Manouba,,218.0,Gris,19200.0,Avec kilométrage,1.2,2006.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Gabès,,47000.0,Blanc,33000.0,Avec kilométrage,1.4,2018.0,Manuelle,Fiat,Doblo,Utilitaire,Diesel,6.0
Bizerte,,152000.0,Marron,26700.0,Avec kilométrage,1.2,2011.0,Manuelle,Citroen,C3,Berline,Essence,4.0
Monastir,,146000.0,Gris,28000.0,Avec kilométrage,1.2,2017.0,Manuelle,Hyundai,Grand i10,Compacte,Essence,5.0
Tunis,,150000.0,Noir,53100.0,Avec kilométrage,1.6,2017.0,Automatique,Ssangyong,Tivoli,4 x 4,Essence,7.0
Tunis,,170000.0,Gris,29130.0,Avec kilométrage,2.0,2021.0,Automatique,Toyota,RAV 4,4 x 4,Essence,9.0
Tunis,,60000.0,Noir,29130.0,Nouveau,2.0,2021.0,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Hybride essence,12.0
Tunis,,40000.0,Blanc,29130.0,Nouveau,1.5,2023.0,Automatique,Mercedes-Benz,Classe C,Berline,Essence,9.0
Tunis,,160000.0,Noir,15000.0,Avec kilométrage,1.6,2005.0,Manuelle,Renault,Scenic,Monospace,Diesel,5.0
Ben Arous,,320000.0,Gris,16000.0,Avec kilométrage,1.2,2004.0,Manuelle,Volkswagen,Polo,Autres,Essence,4.0
Bizerte,,85000.0,Rouge,36900.0,Avec kilométrage,1.2,2018.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
Sfax,,250000.0,Gris,19999.0,Avec kilométrage,1.4,2007.0,Manuelle,Peugeot,206,Berline,Essence,6.0
Nabeul,,29000.0,Marron,135000.0,Avec kilométrage,2.0,2018.0,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Essence,12.0
Sousse,,160.0,Rouge,12700.0,Nouveau,1.4,1997.0,Manuelle,Renault,Clio,Compacte,Essence,7.0
Tunis,,119373.0,Blanc,39000.0,Avec kilométrage,3.0,2021.0,Manuelle,Renault,Symbol,Autres,Essence,5.0
Ariana,,190000.0,Blanc,34000.0,Avec kilométrage,1.4,2020.0,Manuelle,Dacia,Dokker,Utilitaire,Diesel,6.0
Tunis,,211000.0,Gris,47000.0,Nouveau,1.7,2014.0,Automatique,Kia,Carens,4 x 4,Diesel,8.0
Sfax,,120000.0,Rouge,42000.0,Nouveau,1.5,2021.0,Manuelle,Geely,GK-GL,Berline,Essence,100.0
Ben Arous,,46371.0,Noir,37000.0,Avec kilométrage,1.5,2020.0,Manuelle,Geely,LC,Berline,Essence,6.0
Ben Arous,,70000.0,Argent,82000.0,Avec kilométrage,3.5,2010.0,Automatique,Mercedes-Benz,Classe E,Autres,Essence,19.0
Ariana,,246000.0,Noir,41500.0,RS,2.0,2008.0,Manuelle,Volvo,XC70,Berline,Diesel,8.0
Médenine,,381400200000.0,Bleu,21000.0,Avec kilométrage,1.4,2008.0,Manuelle,Peugeot,308 SW,Berline,Essence,6.0
Ben Arous,,88500.0,Blanc,50000.0,Avec kilométrage,1.3,2021.0,Manuelle,Fiat,Doblo,Utilitaire,Diesel,5.0
Nabeul,,186000.0,Gris,52000.0,Avec kilométrage,1.6,2020.0,Automatique,Ford,ECOSPORT,Berline,Essence,6.0
Nabeul,,217000.0,Gris,21500.0,Avec kilométrage,1.2,2010.0,Manuelle,Renault,Symbol,Berline,Essence,5.0
Ariana,,3000.0,Blanc,266000.0,Nouveau,3.0,2024.0,Automatique,Isuzu,D-MAX,4 x 4,Diesel,8.0
Sousse,,3000.0,Bleu,17500.0,Avec kilométrage,1.2,2002.0,Manuelle,Renault,Clio,Autres,Essence,0.0
Nabeul,,23000.0,Gris,120000.0,Avec kilométrage,3.0,2017.0,Automatique,Kia,Sportage,4 x 4,Diesel,10.0
Ben Arous,,109000.0,Gris,89998.0,Avec kilométrage,1.6,2021.0,Automatique,Kia,Sportage,Monospace,Diesel,7.0
Sousse,,105000.0,Blanc,39500.0,Avec kilométrage,1.6,2020.0,Manuelle,Peugeot,Partner,Compacte,Diesel,6.0
Sousse,,115000.0,Bleu,55000.0,Nouveau,1.6,2018.0,Automatique,Ssangyong,Korando,Berline,Essence,8.0
Sfax,,300.0,Gris,16800.0,Avec kilométrage,1.6,2003.0,Manuelle,Renault,Laguna,Berline,Essence,7.0
Siliana,,320000.0,Blanc,14000.0,Avec kilométrage,1.5,1996.0,Manuelle,Daewoo,Nexia,Berline,Essence,7.0
Tunis,,230000.0,Blanc,37000.0,Avec kilométrage,1.6,2011.0,Automatique,Hyundai,Accent,Berline,Essence,7.0
Ben Arous,,127000.0,Rouge,33500.0,Avec kilométrage,1.6,2017.0,Manuelle,Toyota,Yaris,Compacte,Essence,4.0
Ariana,,54000.0,Blanc,128000.0,Avec kilométrage,1.5,2021.0,Automatique,BMW,Serie 4,Berline,Essence,7.0
Nabeul,,380000.0,Bleu,13000.0,Non dédouanné,1.6,1990.0,Manuelle,Fiat,Palio,Compacte,Essence,5.0
Ariana,,143000.0,Marron,34900.0,Avec kilométrage,1.2,2013.0,Manuelle,Renault,Clio,Compacte,Essence,5.0
La Manouba,,79900.0,Blanc,81500.0,Avec kilométrage,2.4,2017.0,Automatique,Honda,CR-V,4 x 4,Essence,11.0
Ariana,,238000.0,Bleu,62500.0,Avec kilométrage,2.2,2009.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,9.0
Ariana,,178000.0,Noir,36500.0,Avec kilométrage,1.6,2010.0,Automatique,BMW,Serie 1,Compacte,Essence,7.0
Tunis,,53.0,Noir,195000.0,Nouveau,1.6,2022.0,Automatique,Mercedes-Benz,Classe C,Compacte,Essence,9.0
Tunis,,155000.0,Blanc,34000.0,Avec kilométrage,1.4,2010.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Bizerte,,176000.0,Blanc,59000.0,Nouveau,2.5,2020.0,Manuelle,Isuzu,D-MAX,Autres,Diesel,8.0
Siliana,,155000.0,Rouge,36500.0,Avec kilométrage,1.2,2014.0,Manuelle,Kia,Rio,Compacte,Essence,5.0
Ariana,,233000.0,Gris,25500.0,Avec kilométrage,1.3,2016.0,Manuelle,Fiat,Fiorino,Utilitaire,Diesel,5.0
Tunis,,209759.0,Camel,34000.0,Avec kilométrage,1.4,2015.0,Manuelle,Volkswagen,Polo,Berline,Essence,5.0
Ariana,,226000.0,Gris,32900.0,Avec kilométrage,1.2,2015.0,Manuelle,Seat,Ibiza,Compacte,Essence,5.0
Sousse,,65000.0,Noir,92000.0,Avec kilométrage,1.6,2022.0,Manuelle,Volkswagen,Golf 7,Autres,Essence,7.0
Monastir,,220.0,Blanc,26500.0,Nouveau,1.6,2010.0,Manuelle,Citroen,Berlingo,Berline,Diesel,6.0
La Manouba,,274000.0,Gris,51000.0,RS,3.0,2008.0,Automatique,Mercedes-Benz,Classe C,Berline,Diesel,11.0
Gabès,,80000.0,Rouge,38000.0,Avec kilométrage,1.2,2019.0,Manuelle,Hyundai,I 10,Berline,Essence,4.0
Ariana,,239000.0,Rouge,42900.0,Avec kilométrage,1.6,2008.0,Manuelle,BMW,Serie 3,Berline,Essence,7.0
Sfax,,340000.0,Noir,19000.0,Nouveau,1.6,2006.0,Manuelle,Fiat,Palio,Compacte,Essence,4.0
Tunis,,100000.0,Noir,95000.0,Avec kilométrage,1.4,2019.0,Automatique,Volkswagen,Passat CC,Berline,Essence,8.0
La Manouba,,90000.0,Gris,23000.0,Avec kilométrage,1.2,2008.0,Manuelle,Citroen,C4,Utilitaire,Essence,6.0
Ariana,,45000.0,Noir,295000.0,Avec kilométrage,2.0,2022.0,Automatique,Audi,Q5,4 x 4,Hybride essence,17.0
Ariana,,60000.0,Noir,89500.0,Avec kilométrage,1.2,2020.0,Automatique,Audi,A3,Berline,Essence,6.0
Tunis,,73000.0,Autre,248000.0,Avec kilométrage,2.0,2020.0,Automatique,BMW,X4,4 x 4,Essence,10.0
Tunis,,85000.0,Noir,184000.0,Avec kilométrage,1.5,2021.0,Automatique,Mercedes-Benz,Classe GLA,4 x 4,Hybride,8.0
Tunis,,90000.0,Beige,118000.0,Avec kilométrage,2.0,2010.0,Automatique,Toyota,Prado,4 x 4,Diesel,11.0
Tunis,,40000.0,Noir,375000.0,Avec kilométrage,3.0,2020.0,Automatique,Porsche,Cayenne,4 x 4,Essence,25.0
Tunis,,50000.0,Blanc,175000.0,Avec kilométrage,1.6,2021.0,Automatique,Audi,Q3,4 x 4,Hybride,8.0
Tunis,,54000.0,Blanc,124000.0,Avec kilométrage,1.5,2018.0,Automatique,Mercedes-Benz,Classe A,Berline,Essence,9.0
Tunis,,100000.0,Noir,220000.0,Avec kilométrage,2.0,2016.0,Automatique,Mercedes-Benz,Classe GLC,4 x 4,Essence,13.0
Ariana,,155000.0,Noir,58000.0,Avec kilométrage,1.4,2018.0,Automatique,Volkswagen,Passat,Berline,Essence,7.0
Sousse,,250000.0,Rouge,12500.0,Avec kilométrage,1.4,1997.0,Manuelle,Opel,Astra,Compacte,Diesel,7.0
Tunis,,70000.0,Orange,27000.0,Pièces manquantes,1.5,2018.0,Manuelle,Haval,H6,Autres,Essence,6.0
Ariana,,158.0,Blanc,111141.0,Avec kilométrage,1.2,2012.0,Manuelle,Volkswagen,Polo,Compacte,Essence,5.0
Bizerte,,74000.0,Rouge,31000.0,Avec kilométrage,1.2,2018.0,Manuelle,Peugeot,208,Berline,Essence,5.0
Tunis,,111111.0,Marron,26500.0,Avec kilométrage,1.2,2015.0,Manuelle,Peugeot,208,Compacte,Essence,5.0
Ben Arous,,350.0,Gris,22000.0,Avec kilométrage,1.4,2010.0,Manuelle,Peugeot,207,Compacte,Diesel,4.0
Ben Arous,,250000.0,Jaune,13500.0,Nouveau,1.9,2009.0,Manuelle,Volkswagen,Polo,Compacte,Diesel,8998.0
Tunis,,78000.0,Blanc,84000.0,Avec kilométrage,1.1,2021.0,Manuelle,Volkswagen,Golf 8,Berline,Essence,6.0
Nabeul,,320.0,Noir,37000.0,Avec kilométrage,2.0,2007.0,Automatique,Mercedes-Benz,Classe E,Berline,Diesel,8.0
Tunis,,170.0,Rouge,31500.0,Avec kilométrage,1.4,2010.0,Manuelle,mini,Cooper,Autres,Essence,4.0
Tunis,,78.0,Bleu,37800.0,Avec kilométrage,1.2,2018.0,Automatique,Fiat,500,Autres,Essence,4.0
Ben Arous,,68000.0,Noir,89500.0,Avec kilométrage,1.1,2021.0,Manuelle,Volkswagen,Golf 8,Berline,Essence,6.0
Tunis,,42500.0,Rouge,82000.0,Avec kilométrage,1.1,2020.0,Manuelle,Volkswagen,Tiguan,4 x 4,Essence,6.0
Tunis,,69000.0,Blanc,79500.0,Avec kilométrage,1.1,2020.0,Manuelle,Volkswagen,Touareg,4 x 4,Essence,6.0
Nabeul,,142000.0,Rouge,105000.0,Avec kilométrage,2.2,2015.0,Automatique,Land Rover,Range Rover Evoque,4 x 4,Diesel,11.0
Ariana,,40000.0,Blanc,44000.0,Avec kilométrage,1.2,2023.0,Automatique,Toyota,Aygo,Autres,Essence,5.0
Ben Arous,,171000.0,Noir,52000.0,Avec kilométrage,1.8,2014.0,Manuelle,Audi,A3,Berline,Essence,10.0
Sousse,,160000.0,Blanc,57000.0,Avec kilométrage,1.4,2018.0,Automatique,Skoda,Octavia,Berline,Essence,8.0
Monastir,,53000.0,Gris,86000.0,Nouveau,1.6,2022.0,Manuelle,Volkswagen,Golf,Compacte,Essence,5.0
Ben Arous,,39000.0,Blanc,47000.0,Avec kilométrage,1.1,2023.0,Manuelle,Hyundai,I 10,Compacte,Essence,4.0
Sfax,,145.0,Blanc,40000.0,Avec kilométrage,1.2,2017.0,Manuelle,Kia,Rio,Berline,Essence,5.0
Tunis,,65000.0,Gris,48000.0,Nouveau,1.6,2019.0,Manuelle,Chery,Tiggo,4 x 4,Essence,8.0
Nabeul,,32000.0,Bleu,63000.0,Nouveau,1.6,2022.0,Automatique,Dacia,Sandero,Autres,Essence,6.0
